timestamp,voltage,temperature,humidity
2018-12-19 22:12:31,222.01,28.0,65.0
2018-12-19 22:12:38,222.91,28.0,64.0
2018-12-19 22:12:45,219.73,28.0,64.0
2018-12-19 22:12:51,219.47,28.0,65.0
2018-12-19 22:12:58,225.93,28.0,65.0
2018-12-19 22:13:05,227.1,28.0,65.0
2018-12-19 22:13:12,221.18,28.0,65.0
2018-12-19 22:13:19,222.82,28.0,64.0
2018-12-19 22:13:26,219.71,27.0,63.0
2018-12-19 22:13:32,221.07,28.0,64.0
2018-12-19 22:13:39,222.33,28.0,65.0
2018-12-19 22:13:46,219.39,28.0,65.0
2018-12-19 22:13:53,223.46,28.0,65.0
2018-12-19 22:14:00,222.99,28.0,65.0
2018-12-19 22:14:09,225.39,28.0,64.0
2018-12-19 22:14:16,223.69,28.0,65.0
2018-12-19 22:14:23,216.74,28.0,65.0
2018-12-19 22:14:30,229.0,28.0,65.0
2018-12-19 22:14:39,224.94,28.0,65.0
2018-12-19 22:14:46,221.67,28.0,65.0
2018-12-19 22:14:53,221.41,28.0,65.0
2018-12-19 22:14:59,224.06,28.0,65.0
2018-12-19 22:15:06,218.65,28.0,65.0
2018-12-19 22:15:13,221.46,28.0,65.0
2018-12-19 22:15:20,225.29,28.0,65.0
2018-12-19 22:15:27,218.81,28.0,65.0
2018-12-19 22:15:34,225.99,28.0,65.0
2018-12-19 22:15:41,221.76,28.0,64.0
2018-12-19 22:15:48,221.17,28.0,64.0
2018-12-19 22:15:55,222.47,28.0,64.0
2018-12-19 22:16:04,225.59,28.0,64.0
2018-12-19 22:16:11,222.02,28.0,65.0
2018-12-19 22:16:19,226.88,28.0,64.0
2018-12-19 22:16:25,220.52,28.0,64.0
2018-12-19 22:16:32,224.69,28.0,64.0
2018-12-19 22:16:40,222.34,28.0,64.0
2018-12-19 22:16:47,217.04,28.0,65.0
2018-12-19 22:16:54,226.12,28.0,64.0
2018-12-19 22:17:00,221.62,28.0,64.0
2018-12-19 22:17:07,223.71,28.0,64.0
